data,trip_uuid,source_center,destination_center,od_start_time,trip_creation_time,route_schedule_uuid,route_type,source_name,destination_name,od_end_time,actual_elapsed_min,actual_distance_km,actual_movement_min,osrm_time_min,osrm_distance_km,checkpoint_count,minimum_segment_actual_min,dwell_time_min,movement_delay_ratio,elapsed_delay_ratio,movement_excess_min,departure_hour,departure_weekday,is_weekend,time_bucket,has_negative_segment,is_model_eligible
training,trip-153671041653548748,IND462022AAA,IND209304AAA,2018-09-12 00:00:16.535741,2018-09-12 00:00:16.535741,thanos::sroute:d7c989ba-a29b-4a0b-b2f4-288cdc60074b,FTL,Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),2018-09-12 16:39:46.858469,999.0,440.9736894506548,830.0,394.0,544.8027,21,22.0,169.0,2.1065989847715736,2.535532994923858,436.0,0,2,0,night,0,True
training,trip-153671041653548748,IND209304AAA,IND000000ACB,2018-09-12 16:39:46.858469,2018-09-12 00:00:16.535741,thanos::sroute:d7c989ba-a29b-4a0b-b2f4-288cdc60074b,FTL,Kanpur_Central_H_6 (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),2018-09-13 13:40:23.123744,1260.0,383.7591641179105,732.0,349.0,446.5496,18,9.0,528.0,2.097421203438395,3.6103151862464182,383.0,16,2,0,afternoon,0,True
training,trip-153671042288605164,IND572101AAA,IND561203AAB,2018-09-12 00:00:22.886430,2018-09-12 00:00:22.886430,thanos::sroute:3a1b0ab2-bb0b-4c53-8c59-eb2a2c0d68b9,Carting,Tumkur_Veersagr_I (Karnataka),Doddablpur_ChikaDPP_D (Karnataka),2018-09-12 02:03:09.655591,122.0,48.542889856649374,96.0,42.0,56.9116,6,10.0,26.0,2.2857142857142856,2.9047619047619047,54.0,0,2,0,night,0,True
training,trip-153671042288605164,IND561203AAB,IND562101AAA,2018-09-12 02:03:09.655591,2018-09-12 00:00:22.886430,thanos::sroute:3a1b0ab2-bb0b-4c53-8c59-eb2a2c0d68b9,Carting,Doddablpur_ChikaDPP_D (Karnataka),Chikblapur_ShntiSgr_D (Karnataka),2018-09-12 03:01:59.598855,58.0,24.644020982116984,47.0,26.0,28.1994,3,13.0,11.0,1.8076923076923077,2.230769230769231,21.0,2,2,0,night,0,True
training,trip-153671043369099517,IND562132AAA,IND000000ACB,2018-09-12 00:00:33.691250,2018-09-12 00:00:33.691250,thanos::sroute:de5e208e-7641-45e6-8100-4d9fb1e5720d,FTL,Bangalore_Nelmngla_H (Karnataka),Gurgaon_Bilaspur_HB (Haryana),2018-09-14 03:40:17.106733,3099.0,1689.9646627128334,2736.0,1529.0,2090.8743,77,11.0,363.0,1.789404839764552,2.0268149117069982,1207.0,0,2,0,night,0,True
training,trip-153671043369099517,IND000000ACB,IND160002AAC,2018-09-14 03:40:17.106733,2018-09-12 00:00:33.691250,thanos::sroute:de5e208e-7641-45e6-8100-4d9fb1e5720d,FTL,Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab),2018-09-14 17:34:55.442454,834.0,242.3093062636096,611.0,212.0,281.21090000000004,12,23.0,223.0,2.8820754716981134,3.9339622641509435,399.0,3,4,0,night,0,True
training,trip-153671046011330457,IND400072AAB,IND401104AAA,2018-09-12 00:01:00.113710,2018-09-12 00:01:00.113710,thanos::sroute:f0176492-a679-4597-8332-bbd1c7f9f442,Carting,Mumbai Hub (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),2018-09-12 01:41:29.809822,100.0,17.175274247902713,59.0,15.0,19.68,2,23.0,41.0,3.933333333333333,6.666666666666667,44.0,0,2,0,night,0,True
training,trip-153671052974046625,IND583101AAA,IND583201AAA,2018-09-12 00:02:09.740725,2018-09-12 00:02:09.740725,thanos::sroute:d9f07b12-65e0-4f3b-bec8-df0613461b0f,FTL,Bellary_Dc (Karnataka),Hospet (Karnataka),2018-09-12 02:34:10.515593,152.0,59.53035014589334,147.0,46.0,63.6461,3,42.0,5.0,3.1956521739130435,3.3043478260869565,101.0,0,2,0,night,0,True
training,trip-153671052974046625,IND583201AAA,IND583119AAA,2018-09-12 02:34:10.515593,2018-09-12 00:02:09.740725,thanos::sroute:d9f07b12-65e0-4f3b-bec8-df0613461b0f,FTL,Hospet (Karnataka),Sandur_WrdN1DPP_D (Karnataka),2018-09-12 03:54:43.114421,80.0,26.600535816996672,63.0,27.0,29.5696,2,29.0,17.0,2.3333333333333335,2.962962962962963,36.0,2,2,0,night,0,True
training,trip-153671052974046625,IND583119AAA,IND583101AAA,2018-09-12 03:54:43.114421,2018-09-12 00:02:09.740725,thanos::sroute:d9f07b12-65e0-4f3b-bec8-df0613461b0f,FTL,Sandur_WrdN1DPP_D (Karnataka),Bellary_Dc (Karnataka),2018-09-12 12:00:30.683231,485.0,41.31761356841047,131.0,44.0,53.5761,2,51.0,354.0,2.977272727272727,11.022727272727273,87.0,3,2,0,night,0,True
training,trip-153671055416136166,IND600116AAB,IND600056AAA,2018-09-12 00:02:34.161600,2018-09-12 00:02:34.161600,thanos::sroute:9bf03170-d0a2-4a3f-aa4d-9aaab3d98af4,Carting,Chennai_Porur_DPC (Tamil Nadu),Chennai_Poonamallee (Tamil Nadu),2018-09-12 02:12:10.755603,129.0,9.27151947802009,21.0,11.0,11.8422,1,21.0,108.0,1.9090909090909092,11.727272727272727,10.0,0,2,0,night,0,True
