source_center,destination_center,route_type,time_bucket,observation_count,median_osrm_time_min,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,median_excess_min,breach_rate,chronic_delay
IND000000AAL,IND411033AAA,Carting,afternoon,7,27.0,72.0,162.0,2.6,47.0,1.0,True
IND000000AAL,IND411033AAA,Carting,evening,5,27.0,56.0,135.0,2.0833333333333335,26.0,1.0,True
IND000000AAL,IND411033AAA,Carting,morning,1,26.0,88.0,118.0,3.3846153846153846,62.0,1.0,False
IND000000AAL,IND411033AAA,Carting,night,1,25.0,52.0,108.0,2.08,27.0,1.0,False
IND000000AAS,IND783370AAC,FTL,afternoon,8,30.0,53.0,90.0,1.7666666666666666,23.0,1.0,True
IND000000AAS,IND783370AAC,FTL,evening,1,30.0,80.0,118.0,2.6666666666666665,50.0,1.0,False
IND000000AAZ,IND444203AAA,FTL,night,1,48.0,289.0,322.0,6.020833333333333,241.0,1.0,False
IND000000AAZ,IND444303AAA,FTL,morning,1,40.0,160.0,174.0,4.0,120.0,1.0,False
IND000000ABA,IND683565AAA,Carting,night,5,21.0,22.0,59.0,1.0,0.0,0.2,False
IND000000ABD,IND562132AAA,FTL,morning,1,371.0,624.0,672.0,1.6819407008086253,253.0,1.0,False
IND000000ABD,IND562132AAA,FTL,night,11,370.0,632.0,757.0,1.7081081081081082,262.0,1.0,True
IND000000ABG,IND501359AAF,Carting,afternoon,9,28.0,211.0,263.0,7.535714285714286,183.0,1.0,True
IND000000ACA,IND140406AAA,FTL,evening,2,37.0,65.0,274.0,1.7567567567567568,28.0,1.0,False
IND000000ACA,IND142001AAB,FTL,afternoon,8,56.5,99.0,186.5,1.6520737327188941,40.0,1.0,True
IND000000ACA,IND142401AAA,FTL,evening,6,25.5,54.5,237.5,2.35,28.5,0.8333333333333334,True
IND000000ACA,IND143001AAA,FTL,afternoon,1,111.0,189.0,226.0,1.7027027027027026,78.0,1.0,False
IND000000ACA,IND144001AAB,FTL,afternoon,14,50.0,82.5,148.0,1.6020408163265305,30.5,1.0,True
IND000000ACA,IND144514AAA,FTL,evening,12,63.0,114.5,264.5,1.8174603174603174,51.5,0.8333333333333334,True
IND000000ACA,IND147301AAA,FTL,evening,2,32.0,81.0,192.5,2.4144144144144146,49.0,1.0,False
IND000000ACA,IND152026AAA,FTL,afternoon,1,117.0,179.0,321.0,1.5299145299145298,62.0,1.0,False
IND000000ACA,IND160002AAC,Carting,morning,1,71.0,130.0,257.0,1.8309859154929577,59.0,1.0,False
IND000000ACA,IND160002AAC,FTL,afternoon,11,62.0,149.0,343.0,2.370967741935484,85.0,1.0,True
IND000000ACA,IND160002AAC,FTL,evening,12,66.0,127.5,236.0,1.9837387625594922,63.0,1.0,True
IND000000ACA,IND160002AAC,FTL,morning,17,62.0,121.0,228.0,1.935483870967742,58.0,1.0,True
IND000000ACA,IND160002AAC,FTL,night,19,62.0,132.0,215.0,2.0952380952380953,69.0,1.0,True
IND000000ACB,IND000000AEL,Carting,afternoon,2,63.5,121.0,234.0,1.9048859126984126,57.5,1.0,False
IND000000ACB,IND000000AEL,Carting,evening,10,63.0,97.5,142.5,1.5723393182409575,35.5,1.0,True
IND000000ACB,IND000000AEL,Carting,night,5,62.0,236.0,392.0,3.7936507936507935,174.0,1.0,True
IND000000ACB,IND110024AAA,Carting,afternoon,6,66.5,138.0,266.0,2.07658371040724,71.5,1.0,True
IND000000ACB,IND110030AAD,Carting,afternoon,15,50.0,79.0,203.0,1.58,29.0,0.9333333333333333,True
IND000000ACB,IND110030AAD,Carting,evening,3,52.0,94.0,162.0,1.8076923076923077,42.0,1.0,False
IND000000ACB,IND110030AAD,Carting,night,4,50.5,127.0,197.5,2.5227450980392154,76.5,1.0,False
IND000000ACB,IND110037AAK,Carting,afternoon,10,38.0,79.0,178.5,2.0,40.0,1.0,True
IND000000ACB,IND110037AAK,Carting,evening,16,38.0,63.0,216.5,1.7128378378378377,26.0,1.0,True
IND000000ACB,IND110043AAA,Carting,afternoon,6,37.5,79.5,236.5,2.1212660028449504,42.0,1.0,True
IND000000ACB,IND110043AAA,Carting,evening,2,40.0,103.5,145.5,2.5875000000000004,63.5,1.0,False
IND000000ACB,IND110043AAA,Carting,night,2,39.0,93.0,154.0,2.3846153846153846,54.0,1.0,False
IND000000ACB,IND110043AAC,Carting,afternoon,2,55.0,146.5,266.5,2.6636363636363636,91.5,1.0,False
IND000000ACB,IND110043AAC,Carting,evening,7,55.0,100.0,131.0,1.7857142857142858,44.0,1.0,True
IND000000ACB,IND110052AAA,Carting,evening,2,68.0,102.0,208.5,1.500324464633355,34.0,1.0,False
IND000000ACB,IND110064AAA,Carting,afternoon,14,58.0,98.5,189.5,1.6757744009351256,39.5,1.0,True
IND000000ACB,IND110064AAA,Carting,evening,11,58.0,75.0,192.0,1.293103448275862,17.0,0.6363636363636364,True
IND000000ACB,IND110064AAA,Carting,night,13,57.0,127.0,225.0,2.189655172413793,69.0,1.0,True
IND000000ACB,IND110085AAB,Carting,afternoon,11,67.0,110.0,246.0,1.6417910447761195,43.0,1.0,True
IND000000ACB,IND110085AAB,Carting,evening,3,69.0,102.0,194.0,1.4782608695652173,33.0,1.0,False
IND000000ACB,IND110085AAB,Carting,night,4,68.5,159.0,180.5,2.3043478260869565,90.0,1.0,False
