source_center,destination_center,observation_count,trip_count,route_type_count,median_osrm_time_min,median_osrm_distance_km,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,mean_movement_delay_ratio,median_excess_min,total_excess_min,breach_rate,chronic_delay,sla_breach_contribution_pct,corridor_priority_score,recommended_intervention
IND110064AAA,IND000000ACB,26,26,1,54.0,58.0345,237.5,269.5,4.42654986522911,6.537257600219244,183.0,7793.0,1.0,True,0.14450063913744235,97.02153110047847,Assess parallel route and capacity relief
IND847226AAA,IND842001AAA,14,14,1,84.0,119.03935,757.0,785.5,9.011904761904763,8.928008732212415,673.0,9338.0,1.0,True,0.0778080364586228,96.11443381180223,Audit departure window and facility handoff
IND845305AAA,IND842001AAA,14,14,1,96.0,136.21275,579.0,697.0,6.03125,5.947767344835953,483.0,6733.0,1.0,True,0.0778080364586228,95.20534290271132,Audit departure window and facility handoff
IND175015AAA,IND174001AAA,13,13,1,133.0,122.0761,966.0,1019.0,7.2631578947368425,7.23102021602787,833.0,10899.0,1.0,True,0.07225031956872117,94.85845295055822,Audit departure window and facility handoff
IND847404AAB,IND842001AAA,13,13,1,76.0,108.1511,639.0,712.0,8.48,8.795598611914402,563.0,7739.0,1.0,True,0.07225031956872117,94.70693779904306,Audit departure window and facility handoff
IND176310AAA,IND145001AAA,13,13,1,172.0,124.2269,1065.0,1097.0,6.177514792899408,6.140707552392612,890.0,11464.0,1.0,True,0.07225031956872117,94.70295055821371,Audit departure window and facility handoff
IND700065AAA,IND712311AAA,23,23,1,21.0,21.888,82.0,255.0,3.75,6.850570510310835,60.0,2915.0,1.0,True,0.12782748846773745,94.07296650717703,Assess parallel route and capacity relief
IND834002AAB,IND827013AAA,14,14,1,89.0,123.55885,398.0,570.0,4.447315855181024,4.533921175133053,308.5,4419.0,1.0,True,0.0778080364586228,93.93540669856459,Audit departure window and facility handoff
IND712311AAA,IND700088AAA,23,23,1,30.0,29.6795,113.0,367.0,3.7666666666666666,4.87867548793215,83.0,2673.0,1.0,True,0.12782748846773745,93.86961722488039,Assess parallel route and capacity relief
IND152026AAA,IND000000ACA,13,13,1,121.0,160.3886,570.0,633.0,4.710743801652892,4.61497087115567,449.0,5694.0,1.0,True,0.07225031956872117,93.3213716108453,Audit departure window and facility handoff
IND400072AAB,IND421302AAG,39,39,1,23.0,27.4335,71.0,221.0,2.9583333333333335,4.248148956209157,47.0,2876.0,1.0,True,0.2167509587061635,92.86283891547049,Assess parallel route and capacity relief
IND500010AAB,IND501359AAE,23,23,1,36.0,45.0335,129.0,305.0,3.5135135135135136,3.7212449015736397,93.0,2294.0,1.0,True,0.12782748846773745,92.79704944178629,Assess parallel route and capacity relief
IND851127AAA,IND842001AAA,13,13,1,96.0,130.911,407.0,466.0,4.239583333333333,4.053913630229419,311.0,3809.0,1.0,True,0.07225031956872117,92.28867623604467,Audit departure window and facility handoff
IND712311AAA,IND700065AAA,28,28,1,22.0,21.20965,75.0,143.0,3.4772727272727275,3.8537070460595304,53.5,1769.0,1.0,True,0.1556160729172456,92.2816985645933,Assess parallel route and capacity relief
IND421302AAG,IND401104AAA,51,51,1,25.0,28.9244,64.0,158.0,2.739130434782609,3.3998127735588506,40.0,2999.0,1.0,True,0.28344356138498306,92.04545454545455,Assess parallel route and capacity relief
IND401209AAA,IND401104AAA,15,15,1,21.0,26.3625,134.0,161.0,6.333333333333333,5.700520273014552,112.0,1488.0,1.0,True,0.08336575334852443,91.93381180223285,Assess parallel route and capacity relief
IND400072AAD,IND421302AAG,63,63,1,21.0,25.7253,58.0,179.0,2.6363636363636362,3.7534095134945087,36.0,3754.0,1.0,True,0.3501361640638026,91.86702551834132,Assess parallel route and capacity relief
IND844505AAB,IND842001AAA,11,11,1,52.0,73.7507,625.0,690.0,12.26,12.97923935849574,573.0,6798.0,1.0,True,0.06113488578891791,91.83712121212122,Audit departure window and facility handoff
IND249201AAA,IND249407AAA,12,12,1,27.0,21.9481,220.5,771.0,8.166666666666668,11.000178062678062,193.5,3212.0,1.0,True,0.06669260267881955,91.8201754385965,Audit departure window and facility handoff
IND573201AAB,IND575004AAB,14,14,1,125.0,176.57945,400.5,435.5,3.229838709677419,3.13188322369842,276.5,3729.0,1.0,True,0.0778080364586228,91.71052631578948,Audit departure window and facility handoff
IND400072AAB,IND400015AAA,38,38,1,17.0,18.6316,54.0,123.5,3.176470588235294,3.767830114501941,37.0,1730.0,1.0,True,0.21119324181626187,91.68261562998404,Assess parallel route and capacity relief
IND306401AAB,IND305001AAC,15,15,1,123.0,166.96470000000002,364.0,426.0,2.935483870967742,3.0081812930494594,240.0,3699.0,1.0,True,0.08336575334852443,91.50518341307816,Assess parallel route and capacity relief
IND000000ACB,IND201301AAM,27,27,1,82.0,92.0435,213.0,360.0,2.625,2.79154101514417,130.0,3990.0,1.0,True,0.15005835602734396,91.42942583732058,Assess parallel route and capacity relief
