source_center,destination_center,time_bucket,evaluated_legs,median_carting_eta_min,median_ftl_eta_min,median_ftl_time_saving_min,median_break_even_ftl_premium,median_ftl_net_value,recommended_route_type,evidence_level
IND246424AAA,IND246174AAA,afternoon,5,854.327871536952,822.0166700432131,44.7384289950013,447.384289950013,-52.615710049987,Carting,low: one mode observed
IND764071AAB,IND530012AAA,afternoon,1,709.9524627988702,667.957556814506,41.99490598436421,419.9490598436421,-80.05094015635791,Carting,low: one mode observed
IND500008AAD,IND501359AAE,morning,1,353.5247229224629,313.6062297640732,39.91849315838971,399.1849315838971,-100.81506841610292,Carting,low: one mode observed
IND208017AAA,IND209304AAA,afternoon,1,331.22702907758855,295.1982731513809,36.02875592620768,360.2875592620768,-139.7124407379232,Carting,low: one mode observed
IND416122AAA,IND395023AAA,afternoon,1,1590.1585142049637,1559.0858755465695,31.072638658394226,310.72638658394226,-189.27361341605774,Carting,unsupported: unseen corridor
IND221313AAA,IND211002AAB,afternoon,2,634.7195259585664,604.8104863198719,29.90903963869448,299.0903963869448,-200.9096036130552,Carting,unsupported: unseen corridor
IND209304AAA,IND221313AAA,afternoon,5,978.5792158828586,953.4210871533708,27.944820615447952,279.4482061544795,-220.55179384552048,Carting,low: one mode observed
IND221313AAA,IND211002AAB,morning,4,644.5193324533391,614.5692692230948,27.66440336713714,276.6440336713714,-223.3559663286286,Carting,unsupported: unseen corridor
IND500039AAC,IND501359AAE,morning,1,316.275472002549,289.2027771774417,27.072694825107305,270.72694825107305,-229.27305174892695,Carting,low: one mode observed
IND121002AAB,IND000000ACB,morning,1,296.3839347352181,270.21347112211976,26.17046361309832,261.7046361309832,-238.2953638690168,Carting,low: one mode observed
IND262122AAB,IND244901AAB,morning,1,503.8908898314588,478.47731831646394,25.413571514994885,254.13571514994885,-245.86428485005115,Carting,low: one mode observed
IND322001AAC,IND302014AAB,night,3,565.3085011104712,535.5069300940038,24.191827753287725,241.91827753287725,-258.08172246712275,Carting,unsupported: unseen corridor
IND759122AAC,IND767017AAA,evening,1,608.906265711977,584.7993101513537,24.106955560623305,241.06955560623305,-258.93044439376695,Carting,unsupported: unseen corridor
IND246424AAA,IND246174AAA,morning,1,892.0149729688512,868.5321454855839,23.48282748326733,234.8282748326733,-265.1717251673267,Carting,low: one mode observed
